system:index,date,rainfall_mm,.geo
20150502043000,2015-05-02,0.004432809674042889,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502050000,2015-05-02,0.002303664849820769,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502053000,2015-05-02,0.0031151832593361113,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502060000,2015-05-02,0.006675392272272658,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502063000,2015-05-02,0.008900523029696877,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502070000,2015-05-02,0.0048952879315895545,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502073000,2015-05-02,0.004005235429677663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502080000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502083000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502090000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502093000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502100000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502103000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502110000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502113000,2015-05-02,0.007347294898544408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502120000,2015-05-02,0.03918673579969539,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502123000,2015-05-02,0.10369109880783792,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502130000,2015-05-02,0.1004607315274381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502133000,2015-05-02,0.06830540795080739,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502140000,2015-05-02,0.014923210218418744,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502143000,2015-05-02,0.002216404754453928,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502150000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502153000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502160000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502163000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502170000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502173000,2015-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502180000,2015-05-02,0.020554973155806195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502183000,2015-05-02,0.039080278213943685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502190000,2015-05-02,0.042732982696350945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502193000,2015-05-02,0.044642232675722954,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502200000,2015-05-02,0.02533856791949604,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502203000,2015-05-02,0.01762652616707338,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502210000,2015-05-02,0.0316282717540314,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502213000,2015-05-02,0.02051134346927439,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502220000,2015-05-02,0.025500871986150735,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502223000,2015-05-02,0.03483944047066865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502230000,2015-05-02,0.041471203259902674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502233000,2015-05-02,0.05751483219482303,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503000000,2015-05-03,0.042701569929666956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503003000,2015-05-03,0.02295462397848748,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503010000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503013000,2015-05-03,0.004005235512570248,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503020000,2015-05-03,0.017425828623417988,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503023000,2015-05-03,0.011905758649786935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503030000,2015-05-03,0.01633158801399808,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503033000,2015-05-03,0.05434554864832867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503040000,2015-05-03,0.05791448383587192,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503043000,2015-05-03,0.054453750763472024,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503050000,2015-05-03,0.021684118110628023,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503053000,2015-05-03,0.010787085314032606,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503060000,2015-05-03,0.007034903854443762,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503063000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503070000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503073000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503080000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503083000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503090000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503093000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503100000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503103000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503110000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503113000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503120000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503123000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503130000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503133000,2015-05-03,0.0010820243683160907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503140000,2015-05-03,0.0010820243683160907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503143000,2015-05-03,0.003462478107598855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503150000,2015-05-03,0.004328097473264363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503153000,2015-05-03,0.004328097473264363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503160000,2015-05-03,0.004328097473264363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503163000,2015-05-03,0.004328097473264363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503170000,2015-05-03,0.0030296684247661,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503173000,2015-05-03,0.0021640487366321815,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503180000,2015-05-03,6.492146451747853E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503183000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503190000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503193000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503200000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503203000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503210000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
